<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,D,20170103,000000,426.4500000,447.8500000,424.5500000,445.2000000,1272240
TATN,D,20170104,000000,444.8500000,446.4000000,434.1000000,446.4000000,1195220
TATN,D,20170105,000000,445.6000000,448.6500000,418.2500000,424.2500000,2121160
TATN,D,20170106,000000,420.7500000,426.8000000,415.5000000,423.4500000,801450
TATN,D,20170109,000000,425.1500000,426.4500000,418.2000000,425.8000000,889110
TATN,D,20170110,000000,424.6000000,429.4000000,421.9000000,428.6000000,1138410
TATN,D,20170111,000000,426.6000000,431.7000000,421.4500000,431.2500000,864100
TATN,D,20170112,000000,431.7500000,438.0000000,428.1000000,438.0000000,1110140
TATN,D,20170113,000000,437.2000000,439.0000000,427.1000000,433.1000000,765010
TATN,D,20170116,000000,431.0000000,435.3500000,426.1500000,427.2500000,576820
TATN,D,20170117,000000,427.2500000,428.4000000,423.0000000,423.0500000,639820
TATN,D,20170118,000000,424.9000000,427.3000000,418.0000000,420.0000000,695010
TATN,D,20170119,000000,419.1000000,420.5500000,406.1500000,412.1500000,1498100
TATN,D,20170120,000000,411.1500000,418.3500000,405.1500000,411.1500000,1146160
TATN,D,20170123,000000,410.3000000,410.8000000,398.5500000,401.8000000,1157280
TATN,D,20170124,000000,402.8000000,411.7000000,402.6000000,411.7000000,1053700
TATN,D,20170125,000000,411.7500000,411.8500000,404.0500000,409.8000000,912810
TATN,D,20170126,000000,411.7000000,430.0000000,409.3500000,429.9500000,1533580
TATN,D,20170127,000000,428.4500000,438.6500000,421.6000000,435.0000000,1392050
TATN,D,20170130,000000,432.0000000,433.4500000,418.5000000,421.0000000,987170
TATN,D,20170131,000000,419.9500000,420.7500000,406.2500000,406.7000000,1388810
TATN,D,20170201,000000,407.3000000,413.2000000,407.0500000,408.8000000,1397150
TATN,D,20170202,000000,409.5000000,411.0500000,400.5000000,404.9000000,1809440
TATN,D,20170203,000000,404.3000000,406.4500000,401.2500000,404.4000000,1070580
TATN,D,20170206,000000,405.1500000,405.1500000,396.7000000,401.9500000,1325840
TATN,D,20170207,000000,402.1000000,402.5000000,395.5000000,399.0000000,890390
TATN,D,20170208,000000,398.1500000,406.0000000,396.0500000,406.0000000,1548960
TATN,D,20170209,000000,405.9000000,407.6000000,397.2000000,398.9500000,1246240
TATN,D,20170210,000000,400.0000000,400.5000000,390.8000000,398.3000000,1185970
TATN,D,20170213,000000,399.6000000,399.6500000,390.0000000,395.4500000,1599110
TATN,D,20170214,000000,393.5500000,395.0000000,385.2000000,385.2000000,1582620
TATN,D,20170215,000000,385.3500000,385.3500000,376.4000000,377.5000000,1612990
TATN,D,20170216,000000,378.4500000,380.7500000,374.1500000,380.5000000,1485230
TATN,D,20170217,000000,381.2000000,382.8500000,366.5000000,367.1000000,2340690
TATN,D,20170220,000000,368.6500000,368.8000000,360.2000000,365.0000000,1542130
TATN,D,20170221,000000,364.0500000,368.3000000,361.3000000,366.1500000,1092980
TATN,D,20170222,000000,367.0000000,367.5000000,360.1500000,364.5000000,1392340
TATN,D,20170224,000000,363.8500000,363.9000000,357.5000000,360.0000000,869250
TATN,D,20170227,000000,361.3500000,363.7000000,351.9000000,351.9000000,1406040
TATN,D,20170228,000000,351.9500000,355.3500000,340.0000000,340.9500000,2785670
TATN,D,20170301,000000,341.3000000,357.0000000,338.2500000,355.9500000,2218700
TATN,D,20170302,000000,356.2500000,367.7000000,353.7500000,365.0000000,2398850
TATN,D,20170303,000000,361.4500000,365.7000000,355.0500000,364.0000000,1385390
TATN,D,20170306,000000,364.5500000,373.5500000,359.8500000,370.0000000,1474600
TATN,D,20170307,000000,370.1000000,371.1000000,348.2500000,354.9500000,2453190
TATN,D,20170309,000000,350.4500000,355.3000000,340.4500000,342.7000000,2497590
TATN,D,20170310,000000,343.5000000,349.2000000,339.5500000,341.1000000,1426140
TATN,D,20170313,000000,343.1000000,363.5000000,339.3500000,363.4000000,2197840
TATN,D,20170314,000000,364.3500000,368.6000000,359.3500000,365.4000000,1513160
TATN,D,20170315,000000,365.0000000,368.6000000,353.4000000,356.0000000,1436370
TATN,D,20170316,000000,360.8000000,372.3000000,359.6000000,371.0000000,2882200
TATN,D,20170317,000000,369.8000000,371.9500000,364.2000000,368.7000000,2152280
TATN,D,20170320,000000,369.2500000,370.7000000,355.1500000,364.4500000,1870580
TATN,D,20170321,000000,364.9500000,367.6000000,360.0000000,364.7000000,1792200
TATN,D,20170322,000000,361.9500000,366.1500000,350.9500000,365.5000000,2090190
TATN,D,20170323,000000,366.6500000,368.8000000,356.2500000,359.9500000,1402930
TATN,D,20170324,000000,359.7500000,361.7500000,348.4000000,349.0000000,1602200
TATN,D,20170327,000000,347.9500000,349.5500000,341.5000000,347.3500000,1003950
TATN,D,20170328,000000,347.8500000,351.9000000,344.0000000,351.9000000,1980810
TATN,D,20170329,000000,351.3000000,355.4000000,345.4500000,354.0000000,1746210
TATN,D,20170330,000000,354.3000000,360.8000000,351.6500000,359.9000000,2620210
TATN,D,20170331,000000,358.4500000,359.4000000,346.3500000,347.6500000,1534780
TATN,D,20170403,000000,348.9500000,351.4500000,344.5000000,351.0000000,850170
TATN,D,20170404,000000,350.1000000,355.0000000,347.1000000,352.3500000,733920
TATN,D,20170405,000000,353.0500000,369.8500000,352.8000000,369.8500000,2082000
TATN,D,20170406,000000,368.2000000,369.8000000,363.4000000,369.4500000,1962560
TATN,D,20170407,000000,368.0500000,368.6500000,352.4000000,357.7000000,1902810
TATN,D,20170410,000000,356.5500000,358.6000000,342.6000000,343.3000000,1360080
TATN,D,20170411,000000,343.7500000,348.2500000,338.4500000,342.1500000,1723850
TATN,D,20170412,000000,342.9000000,344.2000000,330.3500000,334.9500000,1317890
TATN,D,20170413,000000,336.8000000,337.0000000,323.3000000,330.0000000,1738090
TATN,D,20170414,000000,329.1000000,329.3500000,323.1000000,325.0000000,451900
TATN,D,20170417,000000,325.6000000,331.9000000,323.3500000,329.0000000,619390
TATN,D,20170418,000000,330.7500000,333.3000000,322.2500000,323.2500000,1187890
TATN,D,20170419,000000,323.4500000,329.0000000,322.8000000,326.6500000,1231170
TATN,D,20170420,000000,326.0000000,327.4000000,321.8000000,324.4500000,1479630
TATN,D,20170421,000000,326.2500000,327.0000000,323.1000000,326.8500000,1375180
TATN,D,20170424,000000,327.7000000,332.9500000,327.1000000,331.6000000,1235270
TATN,D,20170425,000000,331.6000000,336.7500000,328.6000000,335.1000000,1685990
TATN,D,20170426,000000,336.0500000,341.9500000,332.6000000,339.8000000,1455380
TATN,D,20170427,000000,340.0000000,362.5000000,334.6000000,361.2000000,3309870
TATN,D,20170428,000000,362.1500000,378.2500000,360.3000000,377.0000000,2496320
TATN,D,20170502,000000,376.2000000,378.8500000,371.1000000,371.3500000,1735050
TATN,D,20170503,000000,371.5000000,373.8500000,361.0000000,361.0000000,1162520
TATN,D,20170504,000000,362.8000000,375.9000000,361.5500000,368.2500000,1522920
TATN,D,20170505,000000,366.9500000,368.3000000,361.9000000,368.3000000,1088150
TATN,D,20170510,000000,372.1000000,376.3500000,367.6500000,373.5000000,1757950
TATN,D,20170511,000000,373.5000000,374.3000000,365.6500000,372.3500000,1214520
TATN,D,20170512,000000,371.4500000,375.5000000,368.5000000,375.5000000,1056090
TATN,D,20170515,000000,377.0000000,386.5000000,367.1500000,386.5000000,1439300
TATN,D,20170516,000000,385.0000000,393.1500000,381.3500000,384.0000000,2947920
TATN,D,20170517,000000,382.8500000,394.2000000,381.2500000,393.5000000,1749610
TATN,D,20170518,000000,391.9000000,393.1000000,386.5000000,392.8000000,1787020
TATN,D,20170519,000000,393.3000000,400.0000000,390.6500000,392.2500000,1736920
TATN,D,20170522,000000,393.6000000,393.6000000,382.6000000,389.3500000,1299730
TATN,D,20170523,000000,389.0000000,394.3500000,386.0000000,392.0000000,1332030
TATN,D,20170524,000000,392.7000000,400.0000000,392.4500000,400.0000000,1158120
TATN,D,20170525,000000,398.8000000,400.8000000,386.5500000,389.5000000,1399110
TATN,D,20170526,000000,388.7000000,388.7000000,378.2500000,388.0000000,1375020
TATN,D,20170529,000000,386.9000000,390.7500000,383.0000000,388.8000000,737820
TATN,D,20170530,000000,386.3000000,387.6500000,380.6500000,387.0000000,1150620
TATN,D,20170531,000000,386.3500000,397.3500000,381.6500000,384.5000000,7056490
TATN,D,20170601,000000,386.3500000,387.9500000,372.0000000,378.4500000,2643120
TATN,D,20170602,000000,376.1000000,380.4000000,370.1500000,380.3000000,2036230
TATN,D,20170605,000000,380.0000000,380.9000000,374.5000000,376.3000000,1008320
TATN,D,20170606,000000,377.6000000,377.6000000,361.4500000,363.4000000,2037830
TATN,D,20170607,000000,364.1500000,366.8000000,358.0000000,358.0000000,1318710
TATN,D,20170608,000000,358.9000000,362.3000000,351.1000000,359.9000000,2621960
TATN,D,20170609,000000,356.6500000,360.8500000,352.5000000,360.0000000,1914980
TATN,D,20170613,000000,360.9500000,362.3500000,357.2000000,360.3000000,1495340
TATN,D,20170614,000000,360.4000000,365.6500000,354.4500000,365.6500000,2024300
TATN,D,20170615,000000,362.7000000,366.9000000,354.6000000,365.0000000,4766870
TATN,D,20170616,000000,364.0000000,365.7000000,349.5500000,350.1000000,3134850
TATN,D,20170619,000000,351.4000000,368.8000000,351.2000000,368.5500000,1519380
TATN,D,20170620,000000,368.4500000,373.1000000,366.2500000,369.0000000,926640
TATN,D,20170621,000000,368.6000000,376.8000000,366.6500000,376.4000000,1143260
TATN,D,20170622,000000,373.4000000,374.9500000,368.0500000,373.1000000,948250
TATN,D,20170623,000000,372.3000000,377.5500000,370.4500000,371.8500000,1263200
TATN,D,20170626,000000,374.0000000,375.1000000,368.6500000,370.0000000,914790
TATN,D,20170627,000000,369.9500000,373.7500000,366.3500000,372.2500000,741790
TATN,D,20170628,000000,371.6000000,380.9000000,368.9000000,380.9000000,1208910
TATN,D,20170629,000000,381.1000000,381.6500000,375.3000000,378.8500000,944540
TATN,D,20170630,000000,378.0000000,382.9500000,372.0000000,375.6000000,1471930
TATN,D,20170703,000000,376.9000000,390.1500000,376.0000000,389.1500000,1370600
TATN,D,20170704,000000,389.1500000,389.2000000,381.7500000,383.4000000,1400490
TATN,D,20170705,000000,383.0000000,388.5000000,380.2500000,388.5000000,1405710
TATN,D,20170706,000000,370.0000000,373.1000000,364.5500000,370.9500000,1974950
TATN,D,20170707,000000,367.6000000,373.5000000,364.6000000,369.1000000,1389020
TATN,D,20170710,000000,367.5000000,371.4000000,361.1500000,365.5000000,849560
TATN,D,20170711,000000,366.6500000,368.0000000,362.5000000,367.0500000,797300
TATN,D,20170712,000000,368.7500000,374.7500000,366.1000000,374.0000000,1498060
TATN,D,20170713,000000,374.0000000,378.0000000,370.0500000,377.8000000,1021690
TATN,D,20170714,000000,377.6500000,379.9500000,374.6500000,378.0000000,683180
TATN,D,20170717,000000,379.0000000,382.0500000,373.3000000,377.3000000,1243430
TATN,D,20170718,000000,377.7500000,380.2000000,368.4500000,371.7500000,1229760
TATN,D,20170719,000000,370.6500000,386.5000000,370.0500000,386.5000000,1619770
TATN,D,20170720,000000,385.0000000,387.2500000,383.0500000,386.7000000,1355780
TATN,D,20170721,000000,384.2000000,387.2000000,382.7000000,385.1000000,709540
TATN,D,20170724,000000,385.9500000,387.7500000,380.7500000,386.7500000,1424200
TATN,D,20170725,000000,385.5500000,387.9500000,376.1000000,380.2000000,1403920
TATN,D,20170726,000000,380.4000000,389.8000000,379.6500000,389.8000000,1918540
TATN,D,20170727,000000,390.1500000,393.8000000,383.4000000,388.1000000,1170910
TATN,D,20170728,000000,385.6000000,386.5000000,375.5000000,379.0000000,1304870
TATN,D,20170731,000000,381.4500000,393.2500000,380.3500000,390.1000000,1195790
TATN,D,20170801,000000,392.6000000,394.0000000,386.9500000,389.8000000,1272030
TATN,D,20170802,000000,390.1000000,393.6000000,387.1500000,392.0000000,1025360
TATN,D,20170803,000000,392.5500000,395.7000000,389.1000000,392.6000000,715710
TATN,D,20170804,000000,390.7000000,390.7000000,379.8500000,382.9500000,1252090
TATN,D,20170807,000000,385.8000000,387.0000000,381.2500000,387.0000000,520730
TATN,D,20170808,000000,387.0000000,401.0000000,385.5500000,401.0000000,1089400
TATN,D,20170809,000000,399.1000000,400.6000000,388.3000000,389.9000000,1509950
TATN,D,20170810,000000,392.4000000,395.8000000,387.5000000,388.1500000,870160
TATN,D,20170811,000000,388.0000000,390.1000000,377.6000000,379.4500000,1687700
TATN,D,20170814,000000,381.4000000,382.6500000,377.0000000,377.0000000,1092450
TATN,D,20170815,000000,377.3000000,378.6500000,373.1500000,377.3500000,546990
TATN,D,20170816,000000,378.2000000,383.7000000,377.3000000,379.2500000,915720
TATN,D,20170817,000000,378.2500000,383.6000000,377.1500000,381.5000000,681990
TATN,D,20170818,000000,379.9000000,384.3000000,374.6000000,380.9500000,832880
TATN,D,20170821,000000,380.9000000,383.1000000,373.3000000,375.5000000,825080
TATN,D,20170822,000000,376.9000000,381.9000000,375.7000000,381.2500000,479600
TATN,D,20170823,000000,380.0000000,383.3500000,377.2500000,382.1500000,830860
TATN,D,20170824,000000,383.1500000,383.8000000,380.4000000,383.2000000,547680
TATN,D,20170825,000000,384.4500000,386.7000000,382.5000000,385.5000000,934420
TATN,D,20170828,000000,385.0500000,390.0000000,382.1000000,388.0000000,834180
TATN,D,20170829,000000,386.9500000,387.2500000,375.1000000,382.8500000,1699040
TATN,D,20170830,000000,382.8000000,384.0000000,376.0000000,381.5500000,976440
TATN,D,20170831,000000,379.0000000,388.0000000,377.0500000,388.0000000,1896390
TATN,D,20170901,000000,386.2000000,389.5000000,384.0500000,386.1500000,1122620
TATN,D,20170904,000000,384.2000000,388.7000000,383.1500000,385.4000000,848760
TATN,D,20170905,000000,387.2500000,389.4000000,383.6500000,386.0000000,1103840
TATN,D,20170906,000000,386.9500000,393.0000000,383.2500000,392.5000000,1702740
TATN,D,20170907,000000,393.2000000,395.8000000,389.4000000,389.4000000,1343500
TATN,D,20170908,000000,389.5000000,396.2500000,388.4000000,395.8500000,966090
TATN,D,20170911,000000,395.9500000,398.3000000,388.2000000,391.0500000,1508390
TATN,D,20170912,000000,391.9000000,392.0000000,383.6000000,391.3500000,1246540
TATN,D,20170913,000000,390.0000000,390.1500000,384.5000000,384.5000000,1687730
TATN,D,20170914,000000,385.5500000,392.8000000,384.2500000,391.0500000,1126840
TATN,D,20170915,000000,390.9500000,398.0000000,386.8000000,396.6000000,2185140
TATN,D,20170918,000000,397.0000000,400.3000000,394.6500000,395.5000000,1015500
TATN,D,20170919,000000,395.0500000,396.9500000,389.2500000,391.0500000,891000
TATN,D,20170920,000000,391.8500000,399.9500000,391.2500000,399.9500000,1168200
TATN,D,20170921,000000,399.9000000,411.0000000,396.3000000,409.4000000,2346580
TATN,D,20170922,000000,408.0500000,409.3000000,400.0000000,402.3500000,1551320
TATN,D,20170925,000000,403.1000000,412.1500000,400.7500000,412.1000000,1067830
TATN,D,20170926,000000,414.2000000,414.2000000,405.7000000,405.7000000,1195300
TATN,D,20170927,000000,407.9000000,412.5000000,403.0000000,410.9500000,1294650
TATN,D,20170928,000000,409.2500000,413.3500000,407.5000000,411.6500000,869770
TATN,D,20170929,000000,410.7000000,411.4500000,403.9500000,411.2500000,1262790
TATN,D,20171002,000000,410.5000000,412.3500000,403.1500000,403.1500000,930680
TATN,D,20171003,000000,404.4000000,408.0500000,403.0500000,404.8500000,874180
TATN,D,20171004,000000,405.0000000,417.0000000,402.5500000,414.8000000,1237700
TATN,D,20171005,000000,415.2500000,422.0000000,413.5000000,419.9500000,950470
TATN,D,20171006,000000,420.0000000,427.6000000,420.0000000,425.0000000,1180290
TATN,D,20171009,000000,424.8500000,426.6000000,420.0000000,421.1000000,677370
TATN,D,20171010,000000,421.8500000,425.0000000,418.4000000,424.3500000,690290
TATN,D,20171011,000000,424.5000000,432.0000000,424.0000000,427.9000000,1207980
TATN,D,20171012,000000,429.0000000,429.9000000,426.0000000,428.6000000,536270
TATN,D,20171013,000000,428.5500000,430.2000000,425.5000000,430.2000000,608560
TATN,D,20171016,000000,430.6000000,431.1500000,426.0000000,429.7500000,1213660
TATN,D,20171017,000000,428.7500000,429.0000000,422.6500000,425.3000000,731260
TATN,D,20171018,000000,425.5000000,426.7500000,418.5500000,421.0500000,952040
TATN,D,20171019,000000,421.6000000,421.7500000,415.1500000,415.5500000,784010
TATN,D,20171020,000000,417.8500000,428.5000000,415.3000000,424.8500000,1440820
TATN,D,20171023,000000,424.0000000,425.5000000,418.2500000,418.9500000,775140
TATN,D,20171024,000000,419.9000000,424.7500000,418.3500000,422.6000000,605930
TATN,D,20171025,000000,423.5500000,424.4500000,411.7000000,412.0000000,1446520
TATN,D,20171026,000000,413.5500000,414.5000000,407.5500000,408.3500000,1310880
TATN,D,20171027,000000,410.0000000,420.8000000,410.0000000,419.8500000,1072960
TATN,D,20171030,000000,419.5500000,431.4500000,416.1000000,424.3000000,1931960
TATN,D,20171031,000000,425.8000000,438.9500000,424.4500000,436.0000000,1820860
TATN,D,20171101,000000,439.0000000,445.5500000,436.3500000,444.4000000,1176580
TATN,D,20171102,000000,443.2000000,443.7500000,434.2000000,439.0000000,1041970
TATN,D,20171103,000000,438.9000000,446.0000000,437.5000000,437.5000000,1254280
TATN,D,20171107,000000,446.2500000,491.9500000,446.2500000,491.9500000,4910450
TATN,D,20171108,000000,494.9000000,499.5000000,487.6000000,490.0000000,1912670
TATN,D,20171109,000000,491.0000000,495.5500000,484.6500000,491.3500000,1365130
TATN,D,20171110,000000,492.2500000,495.1500000,485.2000000,487.0000000,1128850
TATN,D,20171113,000000,487.0000000,500.0000000,484.3000000,484.3000000,1454910
TATN,D,20171114,000000,483.7000000,493.4500000,482.5000000,487.5000000,1328580
TATN,D,20171115,000000,487.5000000,492.8000000,479.6000000,479.6000000,1284580
TATN,D,20171116,000000,481.4500000,483.5000000,471.0000000,471.0000000,1396010
TATN,D,20171117,000000,470.6500000,476.0500000,466.4000000,468.8500000,1152270
TATN,D,20171120,000000,472.0000000,473.3000000,467.0000000,471.0000000,408060
TATN,D,20171121,000000,473.0000000,494.1500000,472.4500000,492.3500000,1596230
TATN,D,20171122,000000,493.0000000,497.0000000,484.1500000,488.9500000,1153390
TATN,D,20171123,000000,487.6500000,488.0500000,480.4500000,483.9500000,666040
TATN,D,20171124,000000,484.0000000,486.8500000,475.9500000,479.5000000,875940
TATN,D,20171127,000000,479.5000000,489.2500000,476.2500000,483.9000000,1199690
TATN,D,20171128,000000,485.5000000,485.5000000,468.8000000,480.0000000,1403530
TATN,D,20171129,000000,478.4000000,479.8500000,466.0500000,467.6500000,1394400
TATN,D,20171130,000000,468.5000000,478.4500000,456.7000000,456.7000000,3764010
TATN,D,20171201,000000,457.8000000,465.0000000,457.8000000,459.7500000,1419250
TATN,D,20171204,000000,459.7500000,518.0000000,455.9000000,511.4500000,4744290
TATN,D,20171205,000000,508.5000000,518.5500000,500.3000000,506.7000000,3581540
TATN,D,20171206,000000,503.6000000,512.3500000,502.0500000,510.9000000,1493190
TATN,D,20171207,000000,509.1500000,511.6000000,503.4000000,507.0000000,1471030
TATN,D,20171208,000000,508.5500000,510.5000000,500.1000000,503.1000000,772850
TATN,D,20171211,000000,504.5000000,516.9500000,503.1500000,516.9500000,1549900
TATN,D,20171212,000000,517.7000000,520.0000000,506.1500000,517.0000000,1904490
TATN,D,20171213,000000,514.4000000,514.9000000,501.6000000,503.0000000,1689590
TATN,D,20171214,000000,504.7500000,510.5000000,491.2000000,492.8000000,2506050
TATN,D,20171215,000000,492.4500000,493.0000000,480.7000000,487.5500000,2205320
TATN,D,20171218,000000,488.6000000,503.0000000,486.6000000,503.0000000,1424900
TATN,D,20171219,000000,501.0500000,506.9000000,490.1500000,491.6500000,1232620
TATN,D,20171220,000000,490.1000000,493.9000000,477.3000000,477.3000000,1538640
TATN,D,20171221,000000,457.4500000,472.5000000,452.3000000,471.9500000,2263490
TATN,D,20171222,000000,470.6000000,481.6000000,465.6500000,481.6000000,868500
TATN,D,20171225,000000,481.3000000,485.0000000,477.0000000,481.7500000,338370
TATN,D,20171226,000000,481.7000000,486.2000000,478.2500000,483.0000000,547590
TATN,D,20171227,000000,483.0500000,487.2500000,478.3500000,482.4000000,1073390
TATN,D,20171228,000000,480.5000000,481.9500000,464.7500000,477.9500000,1061300
TATN,D,20171229,000000,474.5000000,479.3500000,469.4500000,478.8000000,658910
TATN,D,20180103,000000,478.2000000,486.8000000,474.1000000,486.8000000,871800
TATN,D,20180104,000000,486.8000000,502.0000000,484.8000000,502.0000000,1733590
TATN,D,20180105,000000,502.0000000,502.5000000,493.3000000,500.9000000,870600
TATN,D,20180109,000000,502.0500000,514.0000000,502.0500000,511.3000000,1944430
TATN,D,20180110,000000,510.2500000,514.4500000,507.2000000,510.3000000,1412600
TATN,D,20180111,000000,511.3000000,513.2500000,506.0000000,508.9500000,1123390
TATN,D,20180112,000000,508.0000000,515.5500000,506.0500000,515.5500000,1410180
TATN,D,20180115,000000,516.0500000,526.8000000,514.0000000,518.1500000,2141600
TATN,D,20180116,000000,516.3000000,528.9500000,515.0000000,528.9500000,2088160
TATN,D,20180117,000000,524.3500000,546.8500000,521.3500000,546.0000000,3168480
TATN,D,20180118,000000,545.1000000,560.0000000,545.0000000,560.0000000,2307440
TATN,D,20180119,000000,557.0000000,569.8000000,547.5500000,551.2000000,2642720
TATN,D,20180122,000000,552.6000000,567.8500000,548.3500000,567.1500000,2172950
TATN,D,20180123,000000,570.6500000,586.3000000,552.5000000,564.4000000,2407720
TATN,D,20180124,000000,562.5000000,569.7000000,555.0500000,569.7000000,1264240
TATN,D,20180125,000000,570.0500000,578.4000000,564.5500000,573.8000000,2527770
TATN,D,20180126,000000,571.2500000,580.0000000,567.5000000,580.0000000,1509200
TATN,D,20180129,000000,578.0000000,587.8500000,571.0500000,578.6000000,1893830
TATN,D,20180130,000000,575.0000000,582.8000000,561.8500000,565.4000000,1702930
TATN,D,20180131,000000,562.9000000,573.9500000,558.6000000,565.2000000,1772820
TATN,D,20180201,000000,567.4000000,579.0500000,565.6000000,578.6500000,1243590
TATN,D,20180202,000000,576.8500000,580.0000000,574.2000000,579.0000000,1854910
TATN,D,20180205,000000,576.0000000,578.5000000,561.2500000,564.4000000,1959380
TATN,D,20180206,000000,554.0000000,558.0000000,542.7000000,542.7000000,3021510
TATN,D,20180207,000000,548.0000000,568.9000000,548.0000000,563.1000000,2188060
TATN,D,20180208,000000,559.5000000,566.0000000,555.3000000,555.5000000,1860770
TATN,D,20180209,000000,550.1000000,551.9500000,536.7000000,536.7000000,2263800
TATN,D,20180212,000000,542.1500000,546.1500000,536.0000000,536.0000000,1623310
TATN,D,20180213,000000,538.0000000,550.2000000,534.5000000,549.7500000,1649180
TATN,D,20180214,000000,550.0000000,554.0000000,542.6500000,554.0000000,1622190
TATN,D,20180215,000000,556.0000000,565.6500000,554.8000000,560.0000000,1967610
TATN,D,20180216,000000,561.5000000,574.2500000,561.5000000,569.0000000,2927720
TATN,D,20180219,000000,571.5000000,575.7000000,565.0000000,569.0500000,1048380
TATN,D,20180220,000000,569.5000000,574.8000000,567.7000000,574.8000000,882610
TATN,D,20180221,000000,573.0000000,586.3000000,570.1000000,586.3000000,1916360
